,FOMC-HD-MT
1993-05-18,
1993-07-07,
1993-08-17,
1993-09-21,
1993-11-16,
1993-12-21,
1994-02-04,
1994-03-22,
1994-05-17,
1994-07-06,
1994-08-16,
1994-09-27,
1994-11-15,
1994-12-20,
1995-02-01,
1995-03-28,
1995-05-23,
1995-07-06,
1995-08-22,
1995-09-26,
1995-11-15,
1995-12-19,
1996-01-31,
1996-03-26,
1996-05-21,
1996-07-03,
1996-08-20,
1996-09-24,
1996-11-13,
1996-12-17,
1997-02-05,
1997-03-25,
1997-05-20,
1997-07-02,
1997-08-19,
1997-09-30,
1997-11-12,
1997-12-16,
1998-02-04,
1998-03-31,
1998-05-19,
1998-07-01,
1998-08-18,
1998-09-29,
1998-11-17,
1998-12-22,
1999-02-03,
1999-03-30,
1999-05-18,
1999-06-30,
1999-08-24,
1999-10-05,
1999-11-16,
1999-12-21,
2000-02-02,
2000-03-21,
2000-05-16,
2000-06-28,
2000-08-22,-0.2616033755274262
2000-10-03,-0.10126582278481022
2000-11-15,-0.5021097046413503
2000-12-19,-0.5358649789029537
2001-01-31,-0.9746835443037977
2001-03-20,-0.7721518987341772
2001-05-15,-0.7130801687763713
2001-06-27,-1.0
2001-08-21,-1.0
2001-10-02,-0.7552742616033755
2001-11-06,-0.47679324894514785
2001-12-11,-0.2911392405063292
2002-01-30,0.31531531531531504
2002-03-19,0.2162162162162161
2002-05-07,0.18018018018018006
2002-06-26,-0.08438818565400852
2002-08-13,0.18018018018018006
2002-09-24,-0.2911392405063292
2002-11-06,-0.31645569620253167
2002-12-10,-0.09282700421940937
2003-01-29,0.22522522522522492
2003-03-18,-0.08016877637130815
2003-05-06,-0.21518987341772156
2003-06-25,-0.2067510548523207
2003-08-12,-0.23206751054852326
2003-09-16,-0.1729957805907173
2003-10-28,-0.10126582278481022
2003-12-09,-0.04641350210970474
2004-01-28,0.10810810810810806
2004-03-16,0.13513513513513498
2004-05-04,0.3693693693693691
2004-06-30,0.6036036036036032
2004-08-10,0.6396396396396393
2004-09-21,0.8738738738738736
2004-11-10,0.7027027027027024
2004-12-14,0.6486486486486484
2005-02-02,0.9009009009009005
2005-03-22,0.7207207207207204
2005-05-03,0.7747747747747745
2005-06-30,0.6576576576576572
2005-08-09,0.9189189189189179
2005-09-20,0.7027027027027024
2005-11-01,1.0
2005-12-13,0.7297297297297288
2006-01-31,0.8198198198198193
2006-03-28,0.5495495495495486
2006-05-10,0.5495495495495486
2006-06-29,0.3603603603603595
2006-08-08,0.2522522522522522
2006-09-20,0.144144144144144
